Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level,error,level
,"The Social Data Science minor provides students with a solid foundation in the principles and practices of social data science. Students learn how to collect, analyze, and interpret large-scale social data using cutting-edge computational and statistical methods. They also gain an understanding of the ethical and social implications of data science in society. The minor is designed for students in any social science major who want to enhance their data science skills and for students in any STEM major who want to apply their skills to social problems.",https://socialdatascience.ucla.edu/,,Minor in Social Data Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Minor in Social Thought is an interdisciplinary program for students who wish to study social and political theory and the history of social thought. It provides an opportunity for students to study the great texts and themes of social thought from antiquity to the present, and to explore their relevance to contemporary social and political issues. The minor is designed to complement any major and to prepare students for a wide range of careers in law, public policy, journalism, education, and the non-profit sector.",https://socialthought.ucla.edu/,,Minor in Social Thought,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Society and Genetics minor is designed for students who wish to augment their major program of study with an investigation of the historical, ethical, legal, and social implications of contemporary biological and genetic research. The minor offers students the opportunity to examine the translation of biological science into public policy and to consider the role of the life sciences in shaping modern society.",https://isg.ucla.edu/undergraduate/minor-in-society-and-genetics/,,Minor in Society and Genetics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,The Sociology minor is designed for students who wish to augment their major program of study with a sociological perspective. It provides students with an understanding of the social causes and consequences of human behavior and of the ways in which social structures and processes influence individual and group life.,https://registrar.ucla.edu/academics/curricula-and-courses/sociology-minor,,Minor in Sociology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",Minor,,
,"The South Asian Studies minor is designed for students who wish to augment their major program of study with a group of courses that provide a systematic introduction to the humanities and social science of South Asia (comprising India, Pakistan, Bangladesh, Sri Lanka, Nepal, Bhutan, and Afghanistan). It offers students a choice of concentrations in any one of several disciplinary or interdisciplinary fields, or in a particular country or region. The minor is also intended to give students a sense of the historical and cultural depth of the region and to introduce them to its linguistic and literary diversity.",https://registrar.ucla.edu/academics/curricula-and-courses/south-asian-studies-minor,,Minor in South Asian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",Minor,,
,"The Southeast Asian Studies minor is designed for students who wish to augment their major program of study with a group of courses that provide a systematic introduction to Southeast Asia and a more focused study of its languages and cultures. It is a multi- and interdisciplinary program that includes the study of language, literature, religion, and the social sciences.",https://catalog.ucla.edu/programs/minor-in-southeast-asian-studies,,Minor in Southeast Asian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",Minor,,
,"The Spanish minor is designed for students who wish to augment their major program of study with a formal secondary concentration in Spanish language, culture, and literature. The minor provides students with the opportunity to develop high-level proficiency in the Spanish language and a broad understanding of the diverse cultures and literatures of the Spanish-speaking world.",https://registrar.ucla.edu/academics/curricula-and-courses/spanish-and-portuguese/spanish-minor,,Minor in Spanish,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Spanish Linguistics minor is designed for students who wish to specialize in the analysis of the Spanish language. It provides students with a basic knowledge of the structure of the language (phonology, morphology, and syntax), as well as its history and its social and geographical diversity.",https://www.spanport.ucla.edu/undergraduate/minors/spanish-linguistics/,,Minor in Spanish Linguistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",Minor,,
,"The Statistics and Data Science minor is designed to provide students with a comprehensive introduction to the field of statistics and data science. It is intended for students who wish to develop their skills in data analysis and statistical modeling, and who want to apply these skills to their own field of study.",https://statistics.ucla.edu/undergraduate/statistics-minor/,,Minor in Statistics and Data Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,The Systems Biology minor is designed for students who wish to complement their major with a program that provides a foundation in the quantitative modeling of biological systems. The minor provides students with a foundational understanding of the principles of systems biology and the skills to apply mathematical and computational techniques to investigate biological questions.,https://casb.ucla.edu/minor/,,Minor in Systems Biology,https://casb.ucla.edu/fre/,,,
,"The Theater minor is designed for students who wish to augment their major program of study with a series of courses that promote the study of theater as an academic discipline. Students have the opportunity to study theater history, literature, and criticism, and to participate in some production activities.",https://www.tft.ucla.edu/programs/theater-department/undergraduate-degrees/theater-minor/,,Minor in Theater,https://www.tft.ucla.edu/app/uploads/2024/09/THEATER-Minor-Application-Checklist-Fall-2024.pdf,,,
,"The Urban and Regional Studies minor is designed for students who wish to supplement their major field of study with a concentration on cities and regions. The minor offers a curriculum that includes the history of urbanization, the culture of cities, the role of planning and design in shaping the built environment, and the social, economic, and political processes that shape urban and regional development. Students are encouraged to develop a program of study that suits their interests and needs.",https://luskin.ucla.edu/undergraduate-minor-urban-regional-studies,,Minor in Urban and Regional Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Visual and Performing Arts Education (VPAE) Minor is an interdisciplinary program that provides UCLA students with the opportunity to develop their skills as artists and educators, and to explore the role of the arts in schools and communities. Open to all UCLA undergraduates, the VPAE Minor consists of 7-9 courses (28-36 units), including a teaching practicum in a local school or community organization.",https://vpae.arts.ucla.edu/,,Minor in Visual and Performing Arts Education,https://myemail.constantcontact.com/subject.html?soid=1141708696631&aid=y8Sg18VrNcw,,,
